,dateId,count,B_AXIS_CURR
218,0,1353.0,4.4404
219,0,1354.0,4.624
220,0,1355.0,4.59
221,0,1356.0,4.624
222,0,1357.0,2.856
223,0,1358.0,2.8152
224,0,1359.0,2.9172
225,0,1360.0,2.9512
226,0,1361.0,2.6588
227,0,1362.0,2.8492
228,0,1363.0,3.094
229,0,1364.0,2.822
230,0,1365.0,2.7948
231,0,1366.0,2.958
232,0,1367.0,3.1892
233,0,1368.0,2.8832
234,0,1369.0,2.72
235,0,1370.0,3.0532
236,0,1371.0,3.0872
237,0,1372.0,2.856
238,0,1373.0,2.856
239,0,1374.0,3.1144
240,0,1375.0,3.1348
241,0,1376.0,2.8084
242,0,1377.0,2.9716
243,0,1378.0,3.2368
244,0,1379.0,2.992
245,0,1380.0,2.8968
246,0,1381.0,3.1756
247,0,1382.0,3.196
248,0,1383.0,2.9308
249,0,1384.0,2.9444
250,0,1385.0,3.162
251,0,1386.0,3.1688
252,0,1387.0,2.958
253,0,1388.0,3.0464
254,0,1389.0,3.298
255,0,1390.0,3.1076
256,0,1391.0,2.9988
257,0,1392.0,3.264
258,0,1393.0,3.2368
259,0,1394.0,-9.6696
260,0,1395.0,-13.9536
261,0,1396.0,-13.3348
262,0,1397.0,-13.1308
263,0,1398.0,-15.8032
264,0,1399.0,-15.701199999999998
265,0,1400.0,-16.8572
266,0,1401.0,-14.8648
267,0,1402.0,-15.0416
268,0,1403.0,-14.4704
269,0,1404.0,-11.1316
270,0,1405.0,-9.7988
271,0,1406.0,-10.03
272,0,1407.0,-9.6696
273,0,1408.0,-5.746
274,0,1409.0,-8.785599999999999
275,0,1410.0,-4.957199999999999
276,0,1411.0,-6.2424
277,0,1412.0,-6.5892
278,0,1413.0,-3.1348
279,0,1414.0,0.0951999999999999
280,0,1415.0,1.8292
281,0,1416.0,2.72
282,0,1417.0,1.8496
283,0,1418.0,3.128
284,0,1419.0,1.7952
285,0,1420.0,2.1216
286,0,1421.0,2.958
287,0,1422.0,3.8488
288,0,1423.0,2.9648
289,0,1424.0,0.3332
290,0,1425.0,-2.9172
291,0,1426.0,-2.3392
292,0,1427.0,-2.1556
293,0,1428.0,-1.7
294,0,1429.0,-1.8972
295,0,1430.0,-2.0808
296,0,1431.0,-2.1624
297,0,1432.0,-2.142
298,0,1433.0,-2.1284
299,0,1434.0,-2.1216
300,0,1435.0,-2.04
301,0,1436.0,-2.0196
302,0,1437.0,-1.938
303,0,1438.0,-1.8496
304,0,1439.0,-1.9108
305,0,1440.0,-1.9108
306,0,1441.0,-1.9108
307,0,1442.0,-1.8564
308,0,1443.0,-1.8904
309,0,1444.0,-1.836
310,0,1445.0,-1.9992
311,0,1446.0,-1.8768
312,0,1447.0,-1.7068
313,0,1448.0,-1.9788
314,0,1449.0,-2.0264
315,0,1450.0,-1.6864
316,0,1451.0,-1.8496
317,0,1452.0,-2.0876
318,0,1453.0,-1.8156
319,0,1454.0,-1.6387999999999998
320,0,1455.0,-1.9992
321,0,1456.0,-2.04
322,0,1457.0,-1.5776
323,0,1458.0,-1.7271999999999998
324,0,1459.0,-2.0876
325,0,1460.0,-1.7679999999999998
326,0,1461.0,-1.5776
327,0,1462.0,-1.938
328,0,1463.0,-2.04
329,0,1464.0,-1.6387999999999998
330,0,1465.0,-1.5912
331,0,1466.0,-1.9924
332,0,1467.0,-1.8836
333,0,1468.0,-1.4756
334,0,1469.0,1.0472
335,0,1470.0,9.282
336,0,1471.0,13.9672
337,0,1472.0,14.150799999999998
338,0,1473.0,13.7836
339,0,1474.0,12.9676
340,0,1475.0,14.314
341,0,1476.0,14.7152
342,0,1477.0,15.5108
343,0,1478.0,14.5316
344,0,1479.0,15.81
345,0,1480.0,13.2192
346,0,1481.0,7.078799999999999
347,0,1482.0,5.7732
348,0,1483.0,5.644
349,0,1484.0,7.004
350,0,1485.0,8.1328
351,0,1486.0,7.595599999999999
352,0,1487.0,7.636399999999999
353,0,1488.0,3.3524
354,0,1489.0,-0.0815999999999999
355,0,1490.0,-0.3196
356,0,1491.0,-0.238
357,0,1492.0,-1.0404
358,0,1493.0,-1.5028
359,0,1494.0,-1.7544
360,0,1495.0,-1.6048
361,0,1496.0,-3.06
362,0,1497.0,-3.6788
363,0,1498.0,-3.2504
364,0,1499.0,-0.3196
365,0,1500.0,2.992
366,0,1501.0,3.8148
367,0,1502.0,4.1684
368,0,1503.0,4.3452
369,0,1504.0,4.4676
370,0,1505.0,4.5288
371,0,1506.0,4.6172
372,0,1507.0,4.651199999999999
373,0,1508.0,4.8008
374,0,1509.0,2.7404
375,0,1510.0,2.8492
376,0,1511.0,3.0532
377,0,1512.0,2.6996
378,0,1513.0,2.6792
379,0,1514.0,2.958
380,0,1515.0,3.0124
381,0,1516.0,2.6656
382,0,1517.0,2.7676
383,0,1518.0,3.06
384,0,1519.0,2.8628
385,0,1520.0,2.6044
386,0,1521.0,2.8696
387,0,1522.0,3.0872
388,0,1523.0,2.7812
389,0,1524.0,2.618
390,0,1525.0,3.0124
391,0,1526.0,2.9036
392,0,1527.0,2.6792
393,0,1528.0,2.8356
394,0,1529.0,3.0124
395,0,1530.0,2.8084
396,0,1531.0,2.686
397,0,1532.0,2.9988
398,0,1533.0,2.9784
399,0,1534.0,2.652
400,0,1535.0,2.8288
401,0,1536.0,3.0056
402,0,1537.0,2.7608
403,0,1538.0,2.72
404,0,1539.0,2.9376
405,0,1540.0,2.9852
406,0,1541.0,2.7132
407,0,1542.0,2.8492
408,0,1543.0,3.0328
409,0,1544.0,0.5236
410,0,1545.0,-9.2752
411,0,1546.0,-13.8516
412,0,1547.0,-16.700799999999997
413,0,1548.0,-16.272399999999998
414,0,1549.0,-15.1572
415,0,1550.0,-14.6132
416,0,1551.0,-15.361199999999998
417,0,1552.0,-16.5852
418,0,1553.0,-16.1024
419,0,1554.0,-18.7
420,0,1555.0,-12.0836
421,0,1556.0,-5.1816
422,0,1557.0,-5.4128
423,0,1558.0,-5.7052
424,0,1559.0,-6.9292
425,0,1560.0,-6.908799999999999
426,0,1561.0,-7.5344
427,0,1562.0,-7.0176
428,0,1563.0,-3.7604
429,0,1564.0,0.8839999999999999
430,0,1565.0,0.1699999999999999
431,0,1566.0,0.1088
432,0,1567.0,1.6592
433,0,1568.0,1.3192
434,0,1569.0,1.5299999999999998
435,0,1570.0,1.5164
436,0,1571.0,3.0192
437,0,1572.0,3.9372
438,0,1573.0,4.318
439,0,1574.0,1.8292
440,0,1575.0,-1.462
441,0,1576.0,-1.2104
442,0,1577.0,-2.346
443,0,1578.0,-1.802
444,0,1579.0,-1.7544
445,0,1580.0,-2.0604
446,0,1581.0,-2.1148
447,0,1582.0,-2.1964
448,0,1583.0,-2.1624
449,0,1584.0,-2.1012
